Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,Day,Mag_std,Activity,n_rows,start_time,end_time
32.25,42.18518518518518,49.76315789473684,1.0,78.51652892561984,1.0,1.0,1.0,1.0,60.74728260869565,1.0,53.623885213977836,sleeping,242,15:14:08,15:19:07
39.90163934426229,41.6875,44.35443037974684,1.0454545454545454,79.95918367346938,,1.0,1.0,1.0,57.44604395604396,1.0,60.27920997971264,sleeping,245,15:19:08,15:24:07
31.666666666666668,45.395348837209305,50.738461538461536,1.1071428571428572,79.82644628099173,1.0,1.0,1.0,1.0,64.59328767123287,1.0,59.17860857166961,sleeping,242,15:24:08,15:29:07
60.62937062937063,63.44202898550725,74.61538461538461,1.056338028169014,88.86122448979592,,1.0,1.0,1.0,115.49603658536584,1.0,88.60348690090397,sleeping,245,15:29:08,15:34:07
48.46103896103896,60.83766233766234,78.5764705882353,1.064102564102564,82.42040816326531,1.0,1.0,1.0,1.0,112.17460674157304,1.0,78.63708219889304,sleeping,245,15:34:08,15:39:07
66.67248908296943,88.23287671232876,94.27848101265823,1.1384615384615384,92.86938775510204,,1.0,1.0,1.0,152.40050420168066,1.0,95.19841686107507,sleeping,245,15:39:08,15:44:07
57.69950738916256,64.7936507936508,67.09375,1.1047619047619048,91.13807531380753,,1.0,1.0,1.0,108.80833333333334,1.0,79.20811790256518,sleeping,239,15:44:08,15:49:07
26.57718120805369,29.560344827586206,31.064,1.0,78.54285714285714,,1.0,1.0,1.0,41.831564245810064,1.0,47.59107614121992,sleeping,245,15:49:08,15:54:07
59.4,64.47008547008546,65.14492753623189,1.3421052631578947,85.76419213973799,1.0,1.0,1.0,1.0,103.26628378378378,1.0,91.87825965741963,sleeping,229,15:54:08,15:59:07
31.414634146341463,59.0,49.42424242424242,1.0,73.98333333333333,1.0,1.0,1.0,1.0,57.36600000000001,1.0,69.57077291506829,sleeping,240,15:59:08,16:04:05
41.59090909090909,56.8,56.875,1.0,73.78242677824268,,1.0,1.0,1.0,65.36888888888889,1.0,76.59183339762717,sleeping,239,16:04:12,16:09:11
46.23913043478261,69.33333333333333,57.35897435897436,1.0625,76.58898305084746,1.0,1.0,1.0,1.0,76.6078846153846,1.0,95.53563246519671,sleeping,236,16:09:12,16:14:11
